Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
08-11-2024,19:52,NUSCALE POWER CORP,US67079K1007,NSY,BATS,1,22.2000,USD,-22.20,USD,-20.74,EUR,1.0702,,EUR,-20.74,EUR,daae3c90-ee04-4349-8293-5b9846a1db0e
08-11-2024,19:52,NUSCALE POWER CORP,US67079K1007,NSY,BATS,7,22.2000,USD,-155.40,USD,-145.21,EUR,1.0702,-2.00,EUR,-147.21,EUR,daae3c90-ee04-4349-8293-5b9846a1db0e
23-10-2024,19:12,ADVANCED MICRO DEVICES INC,US0079031078,TDG,XGAT,5,141.0000,EUR,-705.00,EUR,-705.00,EUR,,-3.90,EUR,-708.90,EUR,df490c83-db23-4828-8032-657eb32bf342
23-10-2024,16:49,BOEING COMPANY (THE) C,US0970231058,NSY,XNAS,4,158.0000,USD,-632.00,USD,-586.71,EUR,1.0772,-2.00,EUR,-588.71,EUR,5767c343-5db5-4faa-98c9-a04cefd9a967
13-09-2024,15:30,NUSCALE POWER CORP,US67079K1007,NSY,XNYS,-58,9.1000,USD,527.80,USD,475.76,EUR,1.1094,-2.00,EUR,473.76,EUR,eb4d435c-2419-4250-bfde-fc00cb70b201
10-09-2024,16:05,AVANCE GAS HOLDING LTD,BMG067231032,TDG,XGAT,25,8.5700,EUR,-214.25,EUR,-214.25,EUR,,-3.90,EUR,-218.15,EUR,5cf5e335-8693-45d1-987f-35b8fa777f04
06-09-2024,16:12,INTEL CORPORATION - CO,US4581401001,NDQ,XNAS,15,19.0000,USD,-285.00,USD,-257.01,EUR,1.1089,-2.00,EUR,-259.01,EUR,47bc7356-b3d8-47af-afbe-4326dd6d02d9
03-09-2024,16:04,REPSOL SA,ES0173516115,MAD,XMAD,42,12.0000,EUR,-504.00,EUR,-504.00,EUR,,-2.00,EUR,-506.00,EUR,e1eac6cd-e50b-49a1-a18e-54fdc4243218
03-09-2024,15:47,NUSCALE POWER CORP,US67079K1007,NSY,XNYS,58,7.6000,USD,-440.80,USD,-398.59,EUR,1.1059,-2.00,EUR,-400.59,EUR,dea08997-b122-4a99-9bca-773469b8862d
23-08-2024,16:58,INT.AIRL.GRP,ES0177542018,MAD,MESI,-160,2.1100,EUR,337.60,EUR,337.60,EUR,,-2.00,EUR,335.60,EUR,d240de05-f618-48b4-8965-e19454b5f79e
09-08-2024,21:15,NUSCALE POWER CORP,US67079K1007,NSY,EDGX,-51,9.5000,USD,484.50,USD,443.68,EUR,1.0920,-2.00,EUR,441.68,EUR,36422a49-ea0b-4e6c-8fd3-42aa8f45b6d4
05-08-2024,15:42,NUSCALE POWER CORP,US67079K1007,NSY,XNYS,21,7.4400,USD,-156.24,USD,-142.19,EUR,1.0988,,EUR,-142.19,EUR,cc50569b-5131-4792-8624-d339ba4881a1
05-08-2024,15:42,NUSCALE POWER CORP,US67079K1007,NSY,XNYS,1,7.4400,USD,-7.44,USD,-6.77,EUR,1.0988,,EUR,-6.77,EUR,cc50569b-5131-4792-8624-d339ba4881a1
05-08-2024,15:42,NUSCALE POWER CORP,US67079K1007,NSY,XNYS,29,7.4400,USD,-215.76,USD,-196.36,EUR,1.0988,-2.00,EUR,-198.36,EUR,cc50569b-5131-4792-8624-d339ba4881a1
05-08-2024,09:00,REPSOL SA,ES0173516115,MAD,XMAD,35,12.5800,EUR,-440.30,EUR,-440.30,EUR,,-2.00,EUR,-442.30,EUR,94ed3055-c225-47e4-8638-0449337d120a
02-08-2024,12:49,NINTENDO CO LTD,JP3756600007,TDG,XGAT,7,46.0000,EUR,-322.00,EUR,-322.00,EUR,,-3.90,EUR,-325.90,EUR,42e90745-5357-462f-9a89-eacc91763c02
01-08-2024,17:22,INT.AIRL.GRP,ES0177542018,MAD,MESI,160,1.9000,EUR,-304.00,EUR,-304.00,EUR,,-2.00,EUR,-306.00,EUR,b6df67be-d2f0-4f35-b441-a4bbc9bd2c62
01-08-2024,16:47,ADR ON TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,US8740391003,TDG,XGAT,5,150.0000,EUR,-750.00,EUR,-750.00,EUR,,-3.90,EUR,-753.90,EUR,7a092c39-ba0e-45b8-91e2-ede2ad705577
24-07-2024,13:40,VANGUARD S&P500,IE00B3XXRP09,EAM,XAMS,4,96.5000,EUR,-386.00,EUR,-386.00,EUR,,-1.00,EUR,-387.00,EUR,c99aa7d4-131d-4ca6-8ae9-a4e1a9f852d1
16-07-2024,20:31,HUGO BOSS AG,DE000A1PHFF7,TDG,XGAT,13,37.3100,EUR,-485.03,EUR,-485.03,EUR,,-3.90,EUR,-488.93,EUR,f1bec927-a59a-44ae-8db7-351b6e977c0e
02-07-2024,15:34,BYD CO LTD,CNE100000296,TDG,XGAT,25,27.2000,EUR,-680.00,EUR,-680.00,EUR,,-3.90,EUR,-683.90,EUR,734c73c9-2b69-458e-908e-b5f390c82da6
02-07-2024,10:52,ENAGAS SA,ES0130960018,MAD,MESI,30,13.0000,EUR,-390.00,EUR,-390.00,EUR,,-2.00,EUR,-392.00,EUR,9c18bb0e-c251-4d2e-84b3-3cec2717fae2
19-06-2024,15:41,PAYPAL HOLDINGS INC,US70450Y1038,TDG,XGAT,12,54.4900,EUR,-653.88,EUR,-653.88,EUR,,-3.90,EUR,-657.78,EUR,d881c22d-e952-44c1-95e5-e0923a32dc1a
13-06-2024,17:44,AVANCE GAS HOLDING LTD,BMG067231032,TDG,XGAT,20,13.9600,EUR,-279.20,EUR,-279.20,EUR,,-3.90,EUR,-283.10,EUR,e27a9c32-03d1-48d7-b863-a94ae6d79569
07-06-2024,21:49,NUSCALE POWER CORP,US67079K1007,NSY,XNYS,-60,8.0000,USD,480.00,USD,444.36,EUR,1.0802,-2.00,EUR,442.36,EUR,ebe91431-f71d-409a-be53-ada9b44eb0c1
06-06-2024,08:03,ADR ON TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,US8740391003,TDG,XGAT,-1,151.2000,EUR,151.20,EUR,151.20,EUR,,-3.90,EUR,147.30,EUR,3f173814-a26e-4225-9e13-c88a4c004660
04-06-2024,15:49,NUSCALE POWER CORP,US67079K1007,NSY,XNYS,60,7.0000,USD,-420.00,USD,-386.35,EUR,1.0871,-2.00,EUR,-388.35,EUR,3b16c0d1-2846-48a0-b94a-075e3c3d7a95
29-05-2024,14:35,HUGO BOSS AG,DE000A1PHFF7,TDG,XGAT,12,46.4700,EUR,-557.64,EUR,-557.64,EUR,,-3.90,EUR,-561.54,EUR,11aac4a7-2876-43b5-8bc3-398c143cdbf9
28-05-2024,18:25,NUSCALE POWER CORP,US67079K1007,NSY,ARCX,-80,9.1000,USD,728.00,USD,669.61,EUR,1.0872,-2.00,EUR,667.61,EUR,837ba539-3090-4273-95c3-d0fb08a03aea
28-05-2024,16:58,NUSCALE POWER CORP,US67079K1007,NSY,JNST,80,8.4200,USD,-673.60,USD,-619.46,EUR,1.0874,-2.00,EUR,-621.46,EUR,9efa462a-409b-4c7b-892a-e3abea208912
22-05-2024,14:37,AVANCE GAS HOLDING LTD,BMG067231032,TDG,XGAT,17,17.8000,EUR,-302.60,EUR,-302.60,EUR,,-3.90,EUR,-306.50,EUR,ff316f11-0283-4e3b-a155-0e56b3ee0176
06-05-2024,15:26,INT.AIRL.GRP,ES0177542018,MAD,MESI,-111,2.1300,EUR,236.43,EUR,236.43,EUR,,,EUR,236.43,EUR,20a41c67-5db6-47fd-8b2d-462abc47b204
06-05-2024,15:26,INT.AIRL.GRP,ES0177542018,MAD,XMAD,-112,2.1300,EUR,238.56,EUR,238.56,EUR,,-2.00,EUR,236.56,EUR,20a41c67-5db6-47fd-8b2d-462abc47b204
