Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
14-06-2024,09:45,13-06-2024,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 283,1 EUR",,,,EUR,4629.66,
14-06-2024,09:45,13-06-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,283.10,EUR,4912.76,
13-06-2024,17:44,13-06-2024,AVANCE GAS HOLDING LTD,BMG067231032,Costes de transacción y/o externos de DEGIRO,,EUR,-3.90,EUR,4629.66,e27a9c32-03d1-48d7-b863-a94ae6d79569
13-06-2024,17:44,13-06-2024,AVANCE GAS HOLDING LTD,BMG067231032,"Compra 20 Avance Gas Holding Ltd@13,96 EUR (BMG067231032)",,EUR,-279.20,EUR,4633.56,e27a9c32-03d1-48d7-b863-a94ae6d79569
12-06-2024,17:15,12-06-2024,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 15,66 EUR",,,,EUR,4912.76,
12-06-2024,17:15,12-06-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,15.66,EUR,4928.42,
12-06-2024,07:04,11-06-2024,,,Retirada Cambio de Divisa,,EUR,-15.66,EUR,4912.76,
12-06-2024,07:04,11-06-2024,,,Ingreso Cambio de Divisa,11.452,NO,179.32,NO,0.00,
11-06-2024,16:30,11-06-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 15,75 EUR",,,,EUR,4928.42,
11-06-2024,16:30,11-06-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-15.75,EUR,4912.67,
11-06-2024,13:05,31-05-2024,AVANCE GAS HOLDING LTD,BMG067231032,Dividendo,,EUR,15.75,EUR,4928.42,
11-06-2024,13:02,31-05-2024,AVANCE GAS HOLDING LTD,BMG067231032,Dividendo,,EUR,-15.75,EUR,4912.67,
11-06-2024,13:01,31-05-2024,AVANCE GAS HOLDING LTD,BMG067231032,Dividendo,,EUR,15.75,EUR,4928.42,
11-06-2024,13:00,31-05-2024,AVANCE GAS HOLDING LTD,BMG067231032,Dividendo,,NO,-179.32,NO,-179.32,
10-06-2024,09:15,07-06-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-441.25,EUR,4912.67,
10-06-2024,09:15,07-06-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 441,25 EUR",,,,EUR,5353.92,
07-06-2024,21:49,07-06-2024,NUSCALE POWER CORP,US67079K1007,Retirada Cambio de Divisa,1.0829,USD,-480.00,USD,0.00,ebe91431-f71d-409a-be53-ada9b44eb0c1
07-06-2024,21:49,07-06-2024,NUSCALE POWER CORP,US67079K1007,Ingreso Cambio de Divisa,,EUR,443.25,EUR,4912.67,ebe91431-f71d-409a-be53-ada9b44eb0c1
07-06-2024,21:49,07-06-2024,NUSCALE POWER CORP,US67079K1007,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,4469.42,ebe91431-f71d-409a-be53-ada9b44eb0c1
07-06-2024,21:49,07-06-2024,NUSCALE POWER CORP,US67079K1007,Venta 60 NUSCALE POWER CORP@8 USD (US67079K1007),,USD,480.00,USD,480.00,ebe91431-f71d-409a-be53-ada9b44eb0c1
06-06-2024,18:18,06-06-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 183,55 EUR",,,,EUR,4471.42,
06-06-2024,18:18,06-06-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-183.55,EUR,4287.87,
06-06-2024,08:03,06-06-2024,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,Costes de transacción y/o externos de DEGIRO,,EUR,-3.90,EUR,4471.42,3f173814-a26e-4225-9e13-c88a4c004660
06-06-2024,08:03,06-06-2024,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,"Venta 1 ADR on Taiwan Semiconductor Manufacturing Co Ltd@151,2 EUR (US8740391003)",,EUR,151.20,EUR,4475.32,3f173814-a26e-4225-9e13-c88a4c004660
05-06-2024,17:30,04-06-2024,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 389,32 EUR",,,,EUR,4324.12,
05-06-2024,17:30,04-06-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,389.32,EUR,4713.44,
05-06-2024,07:39,04-06-2024,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Rendimiento de capital,,EUR,35.21,EUR,4324.12,
05-06-2024,07:38,04-06-2024,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Dividendo,,EUR,1.28,EUR,4288.91,
05-06-2024,07:38,04-06-2024,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Retención del dividendo,,EUR,-0.24,EUR,4287.63,
04-06-2024,16:45,04-06-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 34,11 EUR",,,,EUR,4287.87,
