Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
29-12-2023,18:48,29-12-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,77 EUR",,,,EUR,121.39,
29-12-2023,18:48,29-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.77,EUR,118.62,
29-12-2023,08:05,28-12-2023,,,Ingreso Cambio de Divisa,,EUR,2.77,EUR,121.39,
29-12-2023,08:05,28-12-2023,,,Retirada Cambio de Divisa,1.1088,USD,-3.07,USD,0.00,
28-12-2023,16:47,28-12-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 29,88 EUR",,,,EUR,118.62,
28-12-2023,16:47,28-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-29.88,EUR,88.74,
28-12-2023,08:10,22-12-2023,ENAGAS,ES0130960018,Retención del dividendo,,EUR,-7.01,EUR,118.62,
28-12-2023,08:10,22-12-2023,ENAGAS,ES0130960018,Dividendo,,EUR,36.89,EUR,125.63,
28-12-2023,07:42,27-12-2023,VANGUARD S&P 500 UCITS ETF USD,IE00B3XXRP09,Dividendo,,USD,3.07,USD,3.07,
14-12-2023,18:03,14-12-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 24,62 EUR",,,,EUR,88.74,
14-12-2023,18:03,14-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-24.62,EUR,64.12,
14-12-2023,07:45,12-12-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Retención del dividendo,,EUR,-5.78,EUR,88.74,
14-12-2023,07:45,12-12-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Dividendo,,EUR,30.40,EUR,94.52,
05-12-2023,16:47,05-12-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 40,49 EUR",,,,EUR,64.12,
05-12-2023,16:47,05-12-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-40.49,EUR,23.63,
05-12-2023,08:04,04-12-2023,,,Ingreso Cambio de Divisa,,EUR,6.79,EUR,64.12,
05-12-2023,08:04,04-12-2023,,,Retirada Cambio de Divisa,159.67,JPY,-1083.97,JPY,0.00,
05-12-2023,07:54,30-11-2023,MAPFRE,ES0124244E34,Dividendo,,EUR,41.61,EUR,57.33,
05-12-2023,07:54,30-11-2023,MAPFRE,ES0124244E34,Retención del dividendo,,EUR,-7.91,EUR,15.72,
04-12-2023,07:31,01-12-2023,NINTENDO CO LTD,JP3756600007,Retención del dividendo,,JPY,-196.03,JPY,1083.97,
04-12-2023,07:31,01-12-2023,NINTENDO CO LTD,JP3756600007,Dividendo,,JPY,1280.00,JPY,1280.00,
16-10-2023,17:32,16-10-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,75 EUR",,,,EUR,23.63,
16-10-2023,17:32,16-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.75,EUR,21.88,
14-10-2023,07:40,13-10-2023,,,Ingreso Cambio de Divisa,,EUR,1.75,EUR,23.63,
14-10-2023,07:40,13-10-2023,,,Retirada Cambio de Divisa,1.0536,USD,-1.84,USD,0.00,
13-10-2023,07:22,12-10-2023,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,Dividendo,,USD,2.33,USD,1.84,
13-10-2023,07:22,12-10-2023,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,Retención del dividendo,,USD,-0.49,USD,-0.49,
06-10-2023,16:50,06-10-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,84 EUR",,,,EUR,21.88,
06-10-2023,16:50,06-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.84,EUR,19.04,
06-10-2023,07:36,05-10-2023,,,Ingreso Cambio de Divisa,,EUR,2.84,EUR,21.88,
06-10-2023,07:36,05-10-2023,,,Retirada Cambio de Divisa,1.0576,USD,-3.00,USD,0.00,
06-10-2023,04:38,05-10-2023,DOLE PLC,IE0003LFZ4U7,Dividendo,,USD,4.00,USD,3.00,
06-10-2023,04:38,05-10-2023,DOLE PLC,IE0003LFZ4U7,Retención del dividendo,,USD,-1.00,USD,-1.00,
03-10-2023,18:50,03-10-2023,,,Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 8 EUR,,,,EUR,19.04,
03-10-2023,18:50,03-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-8.00,EUR,11.04,
03-10-2023,10:50,02-10-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 250,66 EUR",,,,EUR,19.04,
03-10-2023,10:50,02-10-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,250.66,EUR,269.70,
03-10-2023,08:42,02-10-2023,EBRO FOODS,ES0112501012,Dividendo,,EUR,9.88,EUR,19.04,
03-10-2023,08:42,02-10-2023,EBRO FOODS,ES0112501012,Retención del dividendo,,EUR,-1.88,EUR,9.16,
02-10-2023,15:41,02-10-2023,ENAGAS,ES0130960018,Spanish Transaction Tax,,EUR,-0.50,EUR,11.04,905c4673-a0ea-48d6-8826-54908275ff63
02-10-2023,15:41,02-10-2023,ENAGAS,ES0130960018,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,11.54,905c4673-a0ea-48d6-8826-54908275ff63
02-10-2023,15:41,02-10-2023,ENAGAS,ES0130960018,"Compra 16 Enagas@15,51 EUR (ES0130960018)",,EUR,-248.16,EUR,13.54,905c4673-a0ea-48d6-8826-54908275ff63
02-10-2023,03:01,30-09-2023,,,Flatex Interest Income,,EUR,0.00,EUR,261.70,
29-09-2023,18:51,29-09-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,78 EUR",,,,EUR,261.70,
29-09-2023,18:51,29-09-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.78,EUR,258.92,
29-09-2023,08:01,28-09-2023,,,Ingreso Cambio de Divisa,,EUR,2.78,EUR,261.70,
29-09-2023,08:01,28-09-2023,,,Retirada Cambio de Divisa,1.0592,USD,-2.94,USD,0.00,
28-09-2023,07:42,27-09-2023,VANGUARD S&P 500 UCITS ETF USD,IE00B3XXRP09,Dividendo,,USD,2.94,USD,2.94,
21-09-2023,16:50,21-09-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 319,34 EUR",,,,EUR,258.92,
21-09-2023,16:50,21-09-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,319.34,EUR,578.26,
21-09-2023,08:00,21-09-2023,NINTENDO CO LTD,JP3756600007,Costes de transacción y/o externos de DEGIRO,,EUR,-3.90,EUR,258.92,f1c72517-cdd0-48f1-a11b-a70e85cb57c5
21-09-2023,08:00,21-09-2023,NINTENDO CO LTD,JP3756600007,"Compra 8 Nintendo Co Ltd@39,43 EUR (JP3756600007)",,EUR,-315.44,EUR,262.82,f1c72517-cdd0-48f1-a11b-a70e85cb57c5
07-09-2023,16:34,07-09-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 395,77 EUR",,,,EUR,578.26,
07-09-2023,16:34,07-09-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,395.77,EUR,974.03,
07-09-2023,09:04,07-09-2023,VANGUARD S&P 500 UCITS ETF USD,IE00B3XXRP09,Costes de transacción y/o externos de DEGIRO,,EUR,-1.00,EUR,578.26,2a7dacc2-32fd-4e71-8830-55d5fce714b5
07-09-2023,09:04,07-09-2023,VANGUARD S&P 500 UCITS ETF USD,IE00B3XXRP09,"Compra 5 Vanguard S&P 500 UCITS ETF USD@78,955 EUR (IE00B3XXRP09)",,EUR,-394.78,EUR,579.26,2a7dacc2-32fd-4e71-8830-55d5fce714b5
29-08-2023,11:01,29-08-2023,,,flatex Deposit,,EUR,500.00,EUR,974.03,
01-08-2023,11:20,31-07-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 453,4 EUR",,,,EUR,474.03,
01-08-2023,11:20,31-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,453.40,EUR,927.43,
31-07-2023,15:36,31-07-2023,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,Costes de transacción y/o externos de DEGIRO,,EUR,-3.90,EUR,474.03,0f5dfad1-44a4-4c7f-8b97-f944522d221f
31-07-2023,15:36,31-07-2023,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,"Compra 5 ADR on Taiwan Semiconductor Manufacturing Co Ltd@89,9 EUR (US8740391003)",,EUR,-449.50,EUR,477.93,0f5dfad1-44a4-4c7f-8b97-f944522d221f
31-07-2023,12:20,28-07-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 266,8 EUR",,,,EUR,927.43,
31-07-2023,12:20,28-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-266.80,EUR,660.63,
31-07-2023,11:21,31-07-2023,,,flatex Deposit,,EUR,500.00,EUR,927.43,
28-07-2023,15:56,28-07-2023,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,427.43,b5ad9fca-8496-495b-a3ea-0da73dd219f8
28-07-2023,15:56,28-07-2023,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,"Venta 140 International Consolidated Airlines Group SA@1,92 EUR (ES0177542018)",,EUR,268.80,EUR,429.43,b5ad9fca-8496-495b-a3ea-0da73dd219f8
18-07-2023,16:49,18-07-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 23,08 EUR",,,,EUR,160.63,
18-07-2023,16:49,18-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-23.08,EUR,137.55,
18-07-2023,07:08,17-07-2023,ACERINOX,ES0132105018,Dividendo,,EUR,28.50,EUR,160.63,
18-07-2023,07:08,17-07-2023,ACERINOX,ES0132105018,Retención del dividendo,,EUR,-5.42,EUR,132.13,
13-07-2023,11:50,12-07-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 10,68 EUR",,,,EUR,137.55,
13-07-2023,11:50,12-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-10.68,EUR,126.87,
12-07-2023,09:27,12-07-2023,IBERDROLA SA-RTS,ES06445809Q1,"Venta 36 IBERDROLA SA-RTS@0,302 EUR (ES06445809Q1)",,EUR,10.87,EUR,137.55,2816c1cc-bea7-40c9-9078-d49ba4065443
12-07-2023,09:27,12-07-2023,IBERDROLA SA-RTS,ES06445809Q1,"Venta 1 IBERDROLA SA-RTS@0,302 EUR (ES06445809Q1)",,EUR,0.30,EUR,126.68,2816c1cc-bea7-40c9-9078-d49ba4065443
12-07-2023,09:27,12-07-2023,IBERDROLA SA-RTS,ES06445809Q1,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,126.38,2816c1cc-bea7-40c9-9078-d49ba4065443
12-07-2023,09:27,12-07-2023,IBERDROLA SA-RTS,ES06445809Q1,"Venta 5 IBERDROLA SA-RTS@0,302 EUR (ES06445809Q1)",,EUR,1.51,EUR,128.38,2816c1cc-bea7-40c9-9078-d49ba4065443
10-07-2023,17:34,10-07-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 33,68 EUR",,,,EUR,126.87,
10-07-2023,17:34,10-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-33.68,EUR,93.19,
07-07-2023,09:02,07-07-2023,IBERDROLA SA-RTS,ES06445809Q1,EMISIÓN DE DERECHOS: Compra 42 IBERDROLA SA-RTS@0 EUR (ES06445809Q1),,EUR,0.00,EUR,126.87,
07-07-2023,07:46,06-07-2023,ENAGAS,ES0130960018,Dividendo,,EUR,38.18,EUR,126.87,
07-07-2023,07:46,06-07-2023,ENAGAS,ES0130960018,Retención del dividendo,,EUR,-7.25,EUR,88.69,
07-07-2023,07:38,06-07-2023,,,Ingreso Cambio de Divisa,,EUR,2.75,EUR,95.94,
07-07-2023,07:38,06-07-2023,,,Retirada Cambio de Divisa,1.0916,USD,-3.00,USD,0.00,
07-07-2023,05:11,06-07-2023,DOLE PLC,IE0003LFZ4U7,Dividendo,,USD,4.00,USD,3.00,
07-07-2023,05:11,06-07-2023,DOLE PLC,IE0003LFZ4U7,Retención del dividendo,,USD,-1.00,USD,-1.00,
04-07-2023,17:20,04-07-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 17,67 EUR",,,,EUR,93.19,
04-07-2023,17:20,04-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-17.67,EUR,75.52,
04-07-2023,07:21,03-07-2023,REDEIA,ES0173093024,Dividendo,,EUR,21.82,EUR,93.19,
04-07-2023,07:21,03-07-2023,REDEIA,ES0173093024,Retención del dividendo,,EUR,-4.15,EUR,71.37,
04-07-2023,00:50,03-07-2023,,,Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 8 EUR,,,,EUR,75.52,
04-07-2023,00:50,03-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-8.00,EUR,67.52,
01-07-2023,20:21,30-06-2023,,,Flatex Interest Income,,EUR,0.00,EUR,75.52,
01-07-2023,07:24,30-06-2023,EBRO FOODS,ES0112501012,Dividendo,,EUR,9.88,EUR,75.52,
01-07-2023,07:24,30-06-2023,EBRO FOODS,ES0112501012,Retención del dividendo,,EUR,-1.88,EUR,65.64,
30-06-2023,19:05,30-06-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,51 EUR",,,,EUR,67.52,
